username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
QuotationsEng,,,0,7,210,2020-06-18 06:20:31,2020-07-08 12:40:35,0,"“Do what is #Right, not what is #easy nor what is #popular."" -- #RoyTBennett","[{'text': 'Right', 'indices': [12, 18]}, {'text': 'easy', 'indices': [32, 37]}, {'text': 'popular', 'indices': [50, 58]}, {'text': 'RoyTBennett', 'indices': [64, 76]}]"
balutescumariu1,"Sunt profesor de istorie. În afară de istorie citesc cărți de știință, teologie, politică; ascult muzică clasică; îmi plac serialele S.F.",,4957,2643,39721,2016-08-23 17:53:00,2020-07-08 12:35:32,39,"These are one of the most #popular #books by world #famous #authors, but as you can see, they all have one similarity, they are just too small. At least, that's the case with me, as I am a fan of big books, &amp; they finish just too soon! 

What you say?✍🙏😀😉📚
 #writing #reading https://t.co/dHhZwms2lE","[{'text': 'popular', 'indices': [41, 49]}, {'text': 'books', 'indices': [50, 56]}, {'text': 'famous', 'indices': [66, 73]}, {'text': 'authors', 'indices': [74, 82]}]"
FLai1234,US based photographer. My camera is my paint brush to bring my inner experience to physical reality. No rules but beauty. My works are copyrighted. #photography,United States,20985,21938,116166,2015-11-13 03:05:14,2020-07-08 12:34:43,39,"These are one of the most #popular #books by world #famous #authors, but as you can see, they all have one similarity, they are just too small. At least, that's the case with me, as I am a fan of big books, &amp; they finish just too soon! 

What you say?✍🙏😀😉📚
 #writing #reading https://t.co/dHhZwms2lE","[{'text': 'popular', 'indices': [41, 49]}, {'text': 'books', 'indices': [50, 56]}, {'text': 'famous', 'indices': [66, 73]}, {'text': 'authors', 'indices': [74, 82]}]"
thecharsimemer,follw for sarcastic contents,,61,62,653,2020-05-02 08:44:28,2020-07-08 12:30:19,0,"May god gave him better health further 🙏🏽
.
.
.
#the_charsi_memer #trending #viralmemes #viral #popular #youtube
#jokesfordays #amazing #style #100likes #nofilter #bestoftheday #funny #webstagram #followback #heathyfood  #photogram #instagood #photooftheday #photoeveryday https://t.co/WZ8aQvGfMA","[{'text': 'the_charsi_memer', 'indices': [48, 65]}, {'text': 'trending', 'indices': [66, 75]}, {'text': 'viralmemes', 'indices': [76, 87]}, {'text': 'viral', 'indices': [88, 94]}, {'text': 'popular', 'indices': [95, 103]}, {'text': 'youtube', 'indices': [104, 112]}, {'text': 'jokesfordays', 'indices': [113, 126]}, {'text': 'amazing', 'indices': [127, 135]}, {'text': 'style', 'indices': [136, 142]}, {'text': '100likes', 'indices': [143, 152]}, {'text': 'nofilter', 'indices': [153, 162]}, {'text': 'bestoftheday', 'indices': [163, 176]}, {'text': 'funny', 'indices': [177, 183]}, {'text': 'webstagram', 'indices': [184, 195]}, {'text': 'followback', 'indices': [196, 207]}, {'text': 'heathyfood', 'indices': [208, 219]}, {'text': 'photogram', 'indices': [221, 231]}, {'text': 'instagood', 'indices': [232, 242]}, {'text': 'photooftheday', 'indices': [243, 257]}, {'text': 'photoeveryday', 'indices': [258, 272]}]"
SquirrelMoose59,#NoAffiliationWithSitesContent Ppl have to ❤ items before RT or they get blocked. No trolling  account/feed. No political correctness here  Absolutely No DMs,United States,2198,1652,92687,2016-11-05 22:02:24,2020-07-08 12:28:48,3,Head First #aliens #UFO #toy #toys #doll #dolls #kids #play #cabbage #cabbagepatchdolls #trend #popular #vegetables #farm #farming #food #webcomic #webcomics #comic #comics #cartoon #humor #funny https://t.co/uY7sDuR69x,"[{'text': 'aliens', 'indices': [28, 35]}, {'text': 'UFO', 'indices': [36, 40]}, {'text': 'toy', 'indices': [41, 45]}, {'text': 'toys', 'indices': [46, 51]}, {'text': 'doll', 'indices': [52, 57]}, {'text': 'dolls', 'indices': [58, 64]}, {'text': 'kids', 'indices': [65, 70]}, {'text': 'play', 'indices': [71, 76]}, {'text': 'cabbage', 'indices': [77, 85]}, {'text': 'cabbagepatchdolls', 'indices': [86, 104]}, {'text': 'trend', 'indices': [105, 111]}, {'text': 'popular', 'indices': [112, 120]}, {'text': 'vegetables', 'indices': [121, 132]}, {'text': 'farm', 'indices': [133, 138]}]"
UFOSculptor,New cartoons daily from The Gray Zone. See my work at https://t.co/l0566J6FZx,"Putnam County, NY",2053,2423,5689,2010-08-25 18:27:50,2020-07-08 12:22:56,3,Head First #aliens #UFO #toy #toys #doll #dolls #kids #play #cabbage #cabbagepatchdolls #trend #popular #vegetables #farm #farming #food #webcomic #webcomics #comic #comics #cartoon #humor #funny https://t.co/uY7sDuR69x,"[{'text': 'aliens', 'indices': [11, 18]}, {'text': 'UFO', 'indices': [19, 23]}, {'text': 'toy', 'indices': [24, 28]}, {'text': 'toys', 'indices': [29, 34]}, {'text': 'doll', 'indices': [35, 40]}, {'text': 'dolls', 'indices': [41, 47]}, {'text': 'kids', 'indices': [48, 53]}, {'text': 'play', 'indices': [54, 59]}, {'text': 'cabbage', 'indices': [60, 68]}, {'text': 'cabbagepatchdolls', 'indices': [69, 87]}, {'text': 'trend', 'indices': [88, 94]}, {'text': 'popular', 'indices': [95, 103]}, {'text': 'vegetables', 'indices': [104, 115]}, {'text': 'farm', 'indices': [116, 121]}, {'text': 'farming', 'indices': [122, 130]}, {'text': 'food', 'indices': [131, 136]}, {'text': 'webcomic', 'indices': [137, 146]}, {'text': 'webcomics', 'indices': [147, 157]}, {'text': 'comic', 'indices': [158, 164]}, {'text': 'comics', 'indices': [165, 172]}, {'text': 'cartoon', 'indices': [173, 181]}, {'text': 'humor', 'indices': [182, 188]}, {'text': 'funny', 'indices': [189, 195]}]"
PaceRappaport,"Love Prince, my family and our family business! Let's help each other out!! #retweet #supportsmallbusiness #ebay #shopsmall #collectibles #familybusiness","Moorestown, NJ",5001,4258,88659,2018-02-04 15:08:00,2020-07-08 12:21:39,39,"These are one of the most #popular #books by world #famous #authors, but as you can see, they all have one similarity, they are just too small. At least, that's the case with me, as I am a fan of big books, &amp; they finish just too soon! 

What you say?✍🙏😀😉📚
 #writing #reading https://t.co/dHhZwms2lE","[{'text': 'popular', 'indices': [41, 49]}, {'text': 'books', 'indices': [50, 56]}, {'text': 'famous', 'indices': [66, 73]}, {'text': 'authors', 'indices': [74, 82]}]"
JanRomes,"I write about the power of love and friendship - romance and women's fiction (humor included). I love reading, photography, art, health, nature, food, and more.",Ohio,19734,70650,978304,2011-07-10 17:39:29,2020-07-08 12:06:34,39,"These are one of the most #popular #books by world #famous #authors, but as you can see, they all have one similarity, they are just too small. At least, that's the case with me, as I am a fan of big books, &amp; they finish just too soon! 

What you say?✍🙏😀😉📚
 #writing #reading https://t.co/dHhZwms2lE","[{'text': 'popular', 'indices': [41, 49]}, {'text': 'books', 'indices': [50, 56]}, {'text': 'famous', 'indices': [66, 73]}, {'text': 'authors', 'indices': [74, 82]}]"
top10gyaan,Top10Gyaan is a Guest posting site. we accept only top 10 type post for all niche. you can write for us.,India,20,1,2,2020-07-08 06:13:41,2020-07-08 11:49:17,0,"There are a dozens of payment gateways for websites in India in 2020 which really works well but here we will go through all the top 10  secure payment gateways.

#Top10 #paymentgateway #website #popular #Top10gyaan
@top10gyaan   

https://t.co/JzXu0NVVDt","[{'text': 'Top10', 'indices': [163, 169]}, {'text': 'paymentgateway', 'indices': [170, 185]}, {'text': 'website', 'indices': [186, 194]}, {'text': 'popular', 'indices': [195, 203]}, {'text': 'Top10gyaan', 'indices': [204, 215]}]"
KralLucy,"🐆 tiger Lover. 
👩‍💻 Author! 
😟 No One Wants Me. 😞😢
💚😊 I Like PRETZEL 🥨🥨! 💙 #eathealthy
 28 Years Old 💜",,9,0,56,2020-06-23 20:18:55,2020-07-08 11:38:12,0,"Love how I look today, what do you feel? #popular #latexgirl https://t.co/rEpl2BLchV","[{'text': 'popular', 'indices': [41, 49]}, {'text': 'latexgirl', 'indices': [50, 60]}]"
Fcotta63,https://t.co/AN2wQS2MDQ?amp=1 Amazon,www.fernandocotta.es,18467,17010,515507,2014-09-11 19:50:28,2020-07-08 11:30:44,39,"These are one of the most #popular #books by world #famous #authors, but as you can see, they all have one similarity, they are just too small. At least, that's the case with me, as I am a fan of big books, &amp; they finish just too soon! 

What you say?✍🙏😀😉📚
 #writing #reading https://t.co/dHhZwms2lE","[{'text': 'popular', 'indices': [41, 49]}, {'text': 'books', 'indices': [50, 56]}, {'text': 'famous', 'indices': [66, 73]}, {'text': 'authors', 'indices': [74, 82]}]"
thepopularapps,Appreciation & influence for Apps & Games. We bring you the #popular of the #Apps & #Games each day,,4673,25409,3528,2014-03-08 09:00:51,2020-07-08 11:29:05,0,"#Popular #Game : Mirage: Illusions
by Illam Software Entertainment @illamsoftware
https://t.co/8nwkxQeAho https://t.co/F4ZgXhLn5J","[{'text': 'Popular', 'indices': [0, 8]}, {'text': 'Game', 'indices': [9, 14]}]"
anglrsg9,"Teller of tales and drinker of ales. 
In my past life I was born in the future.
NO DMs PLEASE! #horror #supernatural",,16385,19482,206504,2016-03-02 19:29:44,2020-07-08 11:16:01,39,"These are one of the most #popular #books by world #famous #authors, but as you can see, they all have one similarity, they are just too small. At least, that's the case with me, as I am a fan of big books, &amp; they finish just too soon! 

What you say?✍🙏😀😉📚
 #writing #reading https://t.co/dHhZwms2lE","[{'text': 'popular', 'indices': [41, 49]}, {'text': 'books', 'indices': [50, 56]}, {'text': 'famous', 'indices': [66, 73]}, {'text': 'authors', 'indices': [74, 82]}]"
thecharsimemer,follw for sarcastic contents,,61,62,653,2020-05-02 08:44:28,2020-07-08 11:15:14,0,"Instagram converted his account as REMEMBERING
.
.
.
#the_charsi_memer #trending #viralmemes #viral #popular #youtube 
#jokesfordays #amazing #style #100likes #nofilter #bestoftheday #funny #webstagram #followback #heathyfood  #photogram #instagood #photooftheday #photoeveryday https://t.co/QFIHwiJ1kV","[{'text': 'the_charsi_memer', 'indices': [53, 70]}, {'text': 'trending', 'indices': [71, 80]}, {'text': 'viralmemes', 'indices': [81, 92]}, {'text': 'viral', 'indices': [93, 99]}, {'text': 'popular', 'indices': [100, 108]}, {'text': 'youtube', 'indices': [109, 117]}, {'text': 'jokesfordays', 'indices': [119, 132]}, {'text': 'amazing', 'indices': [133, 141]}, {'text': 'style', 'indices': [142, 148]}, {'text': '100likes', 'indices': [149, 158]}, {'text': 'nofilter', 'indices': [159, 168]}, {'text': 'bestoftheday', 'indices': [169, 182]}, {'text': 'funny', 'indices': [183, 189]}, {'text': 'webstagram', 'indices': [190, 201]}, {'text': 'followback', 'indices': [202, 213]}, {'text': 'heathyfood', 'indices': [214, 225]}, {'text': 'photogram', 'indices': [227, 237]}, {'text': 'instagood', 'indices': [238, 248]}, {'text': 'photooftheday', 'indices': [249, 263]}, {'text': 'photoeveryday', 'indices': [264, 278]}]"
Ric9871Ric,,VA,22494,22124,232167,2013-12-27 04:47:29,2020-07-08 11:03:22,0,"Amazon Fire TV now pulls in live TV content from Sling TV, YouTube TV and Hulu + Live TV https://t.co/ESyqdlvjq3 via @ric9871ric  #retweetplease #popular https://t.co/Pi6shnuStt","[{'text': 'retweetplease', 'indices': [130, 144]}, {'text': 'popular', 'indices': [145, 153]}]"
gallyld,Hard working family guy who loves rugby league with a nice pint of IPA👍,Lancashire ,419,65,654,2018-06-14 08:15:05,2020-07-08 10:56:00,1,"#ForSale Wigan Lower Road, Standish Lower Ground, WN6 8JN

Great sized #detached #home situated in the ever #popular #StandishLowerGround.

#Property #StandishLowerGroundProperty #StandishLowerGroundHomesForSale #RegionallyRecognised

Find out more&gt;&gt; https://t.co/96WPolex8Q https://t.co/gCDqjZ7kYP","[{'text': 'ForSale', 'indices': [20, 28]}, {'text': 'detached', 'indices': [91, 100]}, {'text': 'home', 'indices': [101, 106]}, {'text': 'popular', 'indices': [128, 136]}]"
Ric9871Ric,,VA,22494,22124,232167,2013-12-27 04:47:29,2020-07-08 10:48:16,0,The President's stance on schools shows he's learned nothing from the countless problems sparked by his demands for reopening too fast https://t.co/ChRkCEMijW via @ric9871ric  #retweetplease #popular https://t.co/dA6QRymo0n,"[{'text': 'retweetplease', 'indices': [176, 190]}, {'text': 'popular', 'indices': [191, 199]}]"
ObesityBooks,"Defeat Obesity Forever! Visit https://t.co/ck4JLvM06z and get your Weight Loss Books. Get Ebook free for limited time only!
#ObesityBooks #WeightLoss #Fitness",Available on ObesityBooks.com,12,29,1419,2016-11-23 15:00:31,2020-07-08 10:38:00,0,"Time to #LoseWeight visit https://t.co/CBh1JSvfFr

#Obesity #reads #ObesityBooks #fitness #getfit #transformation #fatloss #befit #popular #news #trending #ebook #music #videos #weightloss #famous #new #USA #UK #Europe #obesitybookforweightloss #loseweightfast #healthyliving #fit https://t.co/PTjQvYx9wi","[{'text': 'LoseWeight', 'indices': [8, 19]}, {'text': 'Obesity', 'indices': [51, 59]}, {'text': 'reads', 'indices': [60, 66]}, {'text': 'ObesityBooks', 'indices': [67, 80]}, {'text': 'fitness', 'indices': [81, 89]}, {'text': 'getfit', 'indices': [90, 97]}, {'text': 'transformation', 'indices': [98, 113]}, {'text': 'fatloss', 'indices': [114, 122]}, {'text': 'befit', 'indices': [123, 129]}, {'text': 'popular', 'indices': [130, 138]}, {'text': 'news', 'indices': [139, 144]}, {'text': 'trending', 'indices': [145, 154]}, {'text': 'ebook', 'indices': [155, 161]}, {'text': 'music', 'indices': [162, 168]}, {'text': 'videos', 'indices': [169, 176]}, {'text': 'weightloss', 'indices': [177, 188]}, {'text': 'famous', 'indices': [189, 196]}, {'text': 'new', 'indices': [197, 201]}, {'text': 'USA', 'indices': [202, 206]}, {'text': 'UK', 'indices': [207, 210]}, {'text': 'Europe', 'indices': [211, 218]}, {'text': 'obesitybookforweightloss', 'indices': [219, 244]}, {'text': 'loseweightfast', 'indices': [245, 260]}, {'text': 'healthyliving', 'indices': [261, 275]}, {'text': 'fit', 'indices': [276, 280]}]"
BwDisrupt,A platform for young entrepreneurs with disruptive ideas that connects new start-up dreamers with investors.,"New Delhi, India",225,3094,13576,2016-02-04 11:31:55,2020-07-08 10:33:49,0,"US Secretary of State, @mikepompeo, has said the #US is ""certainly looking"" at #banning #Chinese social media apps, including #TikTok, days after #India blocked the #popular video-sharing #platform. #TiktokBannedInIndia #ChineseAppsBlocked 
https://t.co/9WDK1mP6Ct","[{'text': 'US', 'indices': [49, 52]}, {'text': 'banning', 'indices': [79, 87]}, {'text': 'Chinese', 'indices': [88, 96]}, {'text': 'TikTok', 'indices': [126, 133]}, {'text': 'India', 'indices': [146, 152]}, {'text': 'popular', 'indices': [165, 173]}, {'text': 'platform', 'indices': [188, 197]}, {'text': 'TiktokBannedInIndia', 'indices': [199, 219]}, {'text': 'ChineseAppsBlocked', 'indices': [220, 239]}]"
obesitycoach,"I am Your Fitness, Bodybuilding and Obesity Coach for Weight Loss. Diet Exercise Health Workouts Gym Walk Running Healthy Eating Weight Training Cardio Dieting",at,82,22,123,2019-10-12 09:56:14,2020-07-08 10:26:00,0,"Its Time to Get Fit https://t.co/RP9S9IMYWD

#Obesity #Free #reads #ObesityBooks #fitness #getfit #transformation #fatloss #befit #popular #news #trending #ebook #music #videos #weightloss #famous #new #USA #UK #Europe #obesitybookforweightloss #loseweightfast #healthyliving #fit https://t.co/f4vwKZueLt","[{'text': 'Obesity', 'indices': [45, 53]}, {'text': 'Free', 'indices': [54, 59]}, {'text': 'reads', 'indices': [60, 66]}, {'text': 'ObesityBooks', 'indices': [67, 80]}, {'text': 'fitness', 'indices': [81, 89]}, {'text': 'getfit', 'indices': [90, 97]}, {'text': 'transformation', 'indices': [98, 113]}, {'text': 'fatloss', 'indices': [114, 122]}, {'text': 'befit', 'indices': [123, 129]}, {'text': 'popular', 'indices': [130, 138]}, {'text': 'news', 'indices': [139, 144]}, {'text': 'trending', 'indices': [145, 154]}, {'text': 'ebook', 'indices': [155, 161]}, {'text': 'music', 'indices': [162, 168]}, {'text': 'videos', 'indices': [169, 176]}, {'text': 'weightloss', 'indices': [177, 188]}, {'text': 'famous', 'indices': [189, 196]}, {'text': 'new', 'indices': [197, 201]}, {'text': 'USA', 'indices': [202, 206]}, {'text': 'UK', 'indices': [207, 210]}, {'text': 'Europe', 'indices': [211, 218]}, {'text': 'obesitybookforweightloss', 'indices': [219, 244]}, {'text': 'loseweightfast', 'indices': [245, 260]}, {'text': 'healthyliving', 'indices': [261, 275]}, {'text': 'fit', 'indices': [276, 280]}]"
MohdSaq01563908,I am dreamer,,36,3,5,2020-07-07 13:55:42,2020-07-08 10:15:48,0,"I called my friends to see the night behind the citylights🌠🌟
#Viral 
#popular","[{'text': 'Viral', 'indices': [61, 67]}, {'text': 'popular', 'indices': [69, 77]}]"
williamfrey5,"Worldwide Hotel/Restaurant/Cruise Consultant loves pornfood
plays sports grad EHL speaks 6 languages Co-founder Chaine Rotisseur, Fatlivesmatter ALLlivesmatter","Orlando, FL",4717,911,19898,2013-03-28 09:29:41,2020-07-08 10:03:32,2,"Cheesecakes are one of the most #popular kind of #cakes all around the #world 😋 that's not surprising because they are #delicious 😍 have you ever had a #cheesecake as #dessert? 🤔 This one is probably the creamiest one of #Madrid 🤤

👉 https://t.co/CFjL4i44uo https://t.co/kwgWPAo0ve","[{'text': 'popular', 'indices': [49, 57]}, {'text': 'cakes', 'indices': [66, 72]}, {'text': 'world', 'indices': [88, 94]}]"
spark_radio_net,Follow our shows @OddtoNFLD @katwghosthunt @NoBoBuMe  @wisewhyspodcast @BeyondReason3  @SafetyPhD @ParaTruthRadio  @syscosgate  @MalliardReport,USA,10,1770,89941,2018-05-28 02:18:53,2020-07-08 10:02:56,1,"Every day I realize more and more that I adore the sun😍 
#sun #quarantine2020 #summer2020 #content #Quotes #QuotesTinaRowee #popular #LosAngeles","[{'text': 'sun', 'indices': [73, 77]}, {'text': 'quarantine2020', 'indices': [78, 93]}, {'text': 'summer2020', 'indices': [94, 105]}, {'text': 'content', 'indices': [106, 114]}, {'text': 'Quotes', 'indices': [115, 122]}, {'text': 'QuotesTinaRowee', 'indices': [123, 139]}]"
